3,1,1,1,1
3,4,4,-5,1
6,2,-1,-1,1
6,65,-43,-58,1
6,236,-55,-235,1
6,644,-205,-637,1
6,60248,10529,-60355,1
6,2441147,1426148,-2593669,1
6,4207039164926,3980702370479,-5161892429569,1
7,2,0,-1,1
7,104,32,-105,1
7,168,44,-169,1
7,812918,-605809,-680316,1
7,5547575,1374870,-5575582,1
7,6137561,1124657,-6150123,1
7,14144042,13010655,-17136136,1
7,150032039,-101429158,-132641670,1
7,2085067487,1034817722,-2166785964,1
7,3373082402,316143303,-3374007862,1
7,8940123359,-6427544172,-7657432774,1
7,26600822975,9371950802,-26983077576,1
7,65034768671,26361760320,-66447663334,1
7,265028377793,83586276165,-267771290215,1
7,6574314162612,4199422931672,-7101975822889,1
7,34517283607023,10148032003454,-34807223588524,1
7,50431896357881,-3232871681403,-50427467704543,1
9,2,1,0,1
9,217,-52,-216,1
9,11305,2097,-11329,1
9,71463217,9659294,-71521992,1
9,216587771,104478151,-224405937,1
9,416724714,166503577,-425403082,1
9,1665861841,1340963030,-1916043408,1
9,4499092381,-1030982643,-4480973425,1
9,74198584229,-33943208193,-71750922347,1
9,534107667265,30824826008,-534141888462,1
9,851340211929,430942164128,-886661420468,1
9,1804424970658,-18684538362,-1804424302855,1
9,51959296543609,-25059425163433,-49938776358327,1
10,2,1,1,1
10,4,-3,-3,1
10,141,130,-171,1
10,683,-353,-650,1
10,301471,-125509,-294038,1
10,298197006,-26780787,-298124987,1
10,20188395140,-13008727553,-18198203117,1
10,127948202001,-67470776910,-121360884431,1
10,738190726611,-502353323790,-650678324441,1
10,3335283663112,-1600673233939,-3207563925299,1
11,3,-2,-2,1
11,258,-197,-212,1
11,619,297,-641,1
11,843,-641,-695,1
11,6628,-4274,-5973,1
11,501483,-70100,-501026,1
11,24416866,12749404,-25524549,1
11,2551387774,1497038014,-2712765693,1
11,6160929787,-2812293198,-5959057820,1
11,483057811837,-343119066305,-416638716873,1
11,785702008528,-373184066837,-756572509842,1
11,4603112559853,-2961830625527,-4151506408827,1
12,10,7,-11,1
12,9730705,-5725013,-9019406,1
15,2,2,-1,1
15,44,23,-46,1
15,332,-262,-265,1
15,489608,-55513,-489370,1
15,1562828,-78886,-1562761,1
15,31278578,7646792,-31430185,1
15,4415911271,1721334998,-4501427992,1
15,19593110132,-6029208529,-19400925004,1
15,14542527845804,8683771862108,-15508982842321,1
15,62135956265903,-41137696640908,-55427147798260,1
17,2,2,1,1
17,50,25,-52,1
17,135,-103,-111,1
17,473,408,-558,1
17,492,-390,-391,1
17,2977,2195,-3331,1
17,44867,-13949,-44413,1
17,330502,-215872,-296407,1
17,763403,-511173,-677757,1
17,588608337577,-32546740372,-588575165482,1
17,747072196334,219796192592,-753360932855,1
17,10612086435169,-282008703562,-10612020050554,1
18,3,-1,-2,1
18,101,94,-123,1
18,215,75,-218,1
18,1671,-1276,-1373,1
18,36468,-27595,-30179,1
18,41166,31757,-46691,1
18,46301,18037,-47196,1
18,417308,-141551,-411807,1
18,784258,-177081,-781237,1
18,952118,-146477,-950961,1
18,29667623,-7056540,-29533949,1
18,55442840,28299907,-57799065,1
18,61815116,-44004837,-53249585,1
18,145874741,-103828587,-125672570,1
18,355419224,-19498665,-355399661,1
18,867905135,225213138,-872930909,1
18,1903157780,-1296519317,-1676713089,1
18,8830105087,-331196182,-8829949773,1
18,28456905041,22907985588,-32731157855,1
18,120623147923,103290006935,-141896689524,1
18,414133328689,59390966438,-414540083847,1
18,917651033830,-616734433039,-813397693767,1
18,4277365022941,669668943669,-4282829541208,1
18,4725792948568,2428627908171,-4930591768225,1
18,30105383699250,7612254773819,-30266746952681,1
18,31787771740385,-11642624087012,-31258396328559,1
18,74058741322613,15238828289194,-74273190239067,1
19,3,0,-2,1
19,19,-14,-16,1
19,76,26,-77,1
19,91,47,-95,1
19,207480,-132885,-187436,1
19,549195,-347186,-498390,1
19,4527187,-2905548,-4086798,1
19,47854084,18421571,-48747266,1
19,81331257,58201351,-90251925,1
19,992732067,-281095616,-985162122,1
19,1143023147,-850727684,-957433220,1
19,3909369282,2646684619,-4277900202,1
19,21189697674,13491997531,-22875347166,1
19,25080281607,-15939242613,-22719011303,1
19,63434073778,-46802811909,-53453273934,1
19,1291425379620,640971973491,-1342047986678,1
20,3,1,-2,1
20,55,21,-56,1
20,156,-107,-137,1
20,256,159,-275,1
20,391,-122,-387,1
20,1986,-827,-1937,1
20,2833,-741,-2816,1
20,8427,3049,-8558,1
20,264145,136912,-275877,1
20,555618,-305081,-523091,1
20,607191,99637,-608084,1
20,608880,-378203,-555737,1
20,3645939,-2006066,-3431087,1
20,9348001,-3633722,-9161277,1
20,40439559,15670213,-41209136,1
20,376549093,-89598233,-374850480,1
20,101855600161,78966884458,-115707711597,1
